568.2773,453.1328
171.3164,429.832
2014-04-25_14-12-13-3758060,627.043,463.8633
2014-04-25_14-12-13-9219170,627.043,463.8633
2014-04-25_14-12-14-4775980,627.043,463.8633
2014-04-25_14-12-15-0254390,470.1914,406.8281
2014-04-25_14-12-15-5695680,789.418,403.3477
2014-04-25_14-12-16-1216230,713.5117,358.918
2014-04-25_14-12-16-6533630,295.4609,524.7266
2014-04-25_14-12-17-1894230,954.5234,468.7344
2014-04-25_14-12-17-7499670,766.3672,157.4609
2014-04-25_14-12-18-2978320,450.832,75.90234
2014-04-25_14-12-18-8553590,451.1797,490.4688
2014-04-25_14-12-19-3893120,473.0898,435.1719
2014-04-25_14-12-19-9336530,819.8398,515.5117
2014-04-25_14-12-20-4732920,440.9219,527.2031
2014-04-25_14-12-21-0057420,536.7383,271.1445
2014-04-25_14-12-21-5456630,276.2422,382.7852
2014-04-25_14-12-22-0856610,818.1016,362.6133
2014-04-25_14-12-22-6214020,850.0977,399.8281
2014-04-25_14-48-27-0976030,938.1172,444.5703
2014-04-25_14-48-27-6414210,938.1172,444.5703
2014-04-25_14-48-28-1847940,938.1172,444.5703
2014-04-25_14-48-28-7299720,938.1172,444.5703
2014-04-25_14-50-37-7019500,669.8281,312.8828
2014-04-25_14-50-38-2526810,669.8281,312.8828
2014-04-25_14-50-38-8083770,669.8281,312.8828
2014-04-25_14-50-39-3368190,669.8281,312.8828
2014-04-25_14-50-39-8967580,669.8281,312.8828
2014-04-25_14-50-40-4365700,669.8281,312.8828
2014-04-25_14-50-40-9687640,669.8281,312.8828
2014-04-25_14-50-41-5042660,669.8281,312.8828
2014-04-25_14-50-42-0583760,669.8281,312.8828
2014-04-25_14-50-42-5950300,669.8281,312.8828
2014-04-25_14-50-43-1322430,669.8281,312.8828
2014-04-25_14-50-43-6919920,669.8281,312.8828
2014-04-25_14-50-44-2481840,669.8281,312.8828
2014-04-25_14-50-44-7758890,669.8281,312.8828
2014-04-25_14-50-45-3079440,669.8281,312.8828
2014-04-25_14-50-45-8645300,669.8281,312.8828
2014-04-25_14-50-46-3965010,669.8281,312.8828
2014-04-25_14-50-46-9389180,669.8281,312.8828
2014-04-25_14-50-47-4923020,669.8281,312.8828
2014-04-25_14-50-48-0440310,669.8281,312.8828
2014-04-25_14-52-09-7475920,1200.789,334.6602
2014-04-25_14-52-10-2775660,1200.789,334.6602
2014-04-25_14-52-10-8338080,1200.789,334.6602
2014-04-25_14-52-11-3820110,1200.789,334.6602
2014-04-25_14-52-11-9301360,1200.789,334.6602
2014-04-25_14-52-12-4883420,1200.789,334.6602
2014-04-25_14-52-13-0218290,1200.789,334.6602
2014-04-25_14-52-13-5500500,1135.141,353.4414
2014-04-25_14-52-14-0935800,893.4258,431
2014-04-25_14-52-14-6299350,893.4258,431
2014-04-25_14-52-15-1700750,893.4258,431
2014-04-25_14-52-15-7967530,893.4258,431
2014-04-25_14-52-16-3477320,893.4258,431
2014-04-25_14-52-16-8936810,893.4258,431
2014-04-25_14-52-17-4418100,893.4258,431
2014-04-25_14-52-17-9896030,893.4258,431
2014-04-25_14-52-18-5484890,893.4258,431
2014-04-25_14-52-19-0817840,893.4258,431
2014-04-25_14-52-19-6420120,893.4258,431
2014-04-25_14-52-20-1773680,893.4258,431
2014-04-25_14-52-20-7094680,893.4258,431
2014-04-25_14-52-21-2373900,893.4258,431
2014-04-25_14-52-21-7979180,893.4258,431
2014-04-25_14-52-22-3501770,893.4258,431
2014-04-25_14-52-22-8771520,893.4258,431
2014-04-25_14-52-23-4200620,893.4258,431
2014-04-25_14-52-23-9719560,893.4258,431
2014-04-25_14-52-24-5139620,893.4258,431
2014-04-25_14-52-25-0535210,893.4258,431
2014-04-25_14-52-25-6197480,874.2969,435.1719
2014-04-25_14-52-26-1531850,799.5664,442.1289
2014-04-25_14-52-26-6938180,799.5664,442.1289
2014-04-25_14-52-27-2494530,799.5664,442.1289
2014-04-25_14-52-27-8092590,799.5664,442.1289
2014-04-25_14-52-28-3416230,799.5664,442.1289
2014-04-25_14-52-28-8853060,799.5664,442.1289
2014-04-25_14-52-29-4375440,799.5664,442.1289
2014-04-25_14-52-29-9733310,799.5664,442.1289
2014-04-25_14-52-30-5092490,799.5664,442.1289
2014-04-25_14-52-31-0369860,799.5664,442.1289
2014-04-25_14-52-31-6060630,799.5664,442.1289
2014-04-25_14-52-32-1575170,799.5664,442.1289
2014-04-25_14-52-32-6930550,799.5664,442.1289
2014-04-25_14-52-33-2415020,799.5664,442.1289
2014-04-25_14-52-33-7929260,799.5664,442.1289
2014-04-25_14-52-34-3414650,799.5664,442.1289
2014-04-25_14-52-34-8820240,799.5664,442.1289
2014-04-25_14-52-35-4294170,605.3438,426.043
